asn=6270 	id=3   	App	generate a packet, seqnum=13 for=-1
asn=6272 	id=1   	App	generate a packet, seqnum=13 for=-1
asn=6288 	id=1   	App	generate a packet, seqnum=14 for=-1
asn=6291 	id=2   	App	generate a packet, seqnum=14 for=-1
asn=6293 	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 13
asn=6293 	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 13
asn=6293 	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 13
asn=6293 	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 9
asn=6293 	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 12
asn=6293 	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 7
asn=6308 	id=3   	App	generate a packet, seqnum=14 for=-1
asn=6317 	id=1   	App	generate a packet, seqnum=15 for=-1
asn=6324 	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 14
asn=6324 	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 13
asn=6324 	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 14
asn=6324 	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 9
asn=6324 	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 13
asn=6324 	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 7
asn=6332 	id=2   	App	generate a packet, seqnum=15 for=-1
asn=6338 	id=3   	App	generate a packet, seqnum=15 for=-1
asn=6346 	id=2   	App	generate a packet, seqnum=16 for=-1
asn=6354 	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 3
asn=6354 	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 9
asn=6355 	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 15
asn=6355 	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 13
asn=6355 	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 15
asn=6355 	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 9
asn=6355 	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 6
asn=6355 	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 7
asn=6362 	id=1   	App	generate a packet, seqnum=16 for=-1
asn=6375 	id=3   	App	generate a packet, seqnum=16 for=-1
asn=6386 	id=2   	App	generate a packet, seqnum=17 for=-1
asn=6386 	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 16
