asn=14553	id=3   	Node	tx done to=1 numtx=1 acked=true, remove packet
asn=14565	id=2   	App	generate a packet, seqnum=15 for=1
asn=14570	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 0
asn=14570	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 6
asn=14570	id=1   	App	rx app packet seqnum=15 from=2
asn=14570	id=2   	Node	tx done to=1 numtx=1 acked=true, remove packet
asn=14688	id=2   	App	generate a packet, seqnum=16 for=1
asn=14689	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 0
asn=14689	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 6
asn=14689	id=1   	App	rx app packet seqnum=16 from=2
asn=14689	id=2   	Node	tx done to=1 numtx=1 acked=true, remove packet
asn=15087	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 19
asn=15087	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 0
asn=15353	id=3   	App	generate a packet, seqnum=16 for=1
asn=15369	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 0
asn=15369	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 5
asn=15369	id=1   	App	rx app packet seqnum=16 from=3
asn=15369	id=3   	Node	tx done to=1 numtx=1 acked=true, remove packet
asn=15576	id=3   	App	generate a packet, seqnum=17 for=1
asn=15590	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 0
asn=15590	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 5
asn=15590	id=1   	App	rx app packet seqnum=17 from=3
asn=15590	id=3   	Node	tx done to=1 numtx=1 acked=true, remove packet
asn=15881	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 20
asn=15881	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 0
asn=16358	id=3   	App	generate a packet, seqnum=18 for=1
asn=16372	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 0
asn=16372	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 5
asn=16372	id=1   	App	rx app packet seqnum=18 from=3
asn=16372	id=3   	Node	tx done to=1 numtx=1 acked=true, remove packet
asn=16675	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 21
asn=16675	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 0
asn=17165	id=3   	App	generate a packet, seqnum=19 for=1
asn=17171	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 0
asn=17171	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 5
asn=17171	id=1   	App	rx app packet seqnum=19 from=3
asn=17171	id=3   	Node	tx done to=1 numtx=1 acked=true, remove packet
asn=17172	id=2   	App	generate a packet, seqnum=17 for=1
asn=17188	id=-1  	TSCH	error: chloe: stats_slots_tx_packet= 0
asn=17188	id=-1  	TSCH	error: chloe: stats_slots_Rx_packet= 6
